Geoid20,Adjacent_Geoids
370839303002019,"370839303002021, 370839303002020, 370839303004023, 370839303002018, 370839303004022, 370839303002017, 370839303002016, 370839303004017"
371139702002023,"371139702002012, 371139702002044, 371139702002024, 371139702002137"
371139707001062,"371139707001063, 371139707001061, 371139707001065, 371139707001057, 371139707001059"
371379502043009,"371379502043008, 371379502043012"
370670005001007,"370670005002004, 370670005002005, 370670005001024, 370670005001008, 370670005001025, 370670005001006, 370670005001005, 370670005001002, 370670005001003"
370670001002013,"370670001002036, 370670001002035, 370670001002012, 370670001002011, 370670001002010, 370670001002034, 370670001002014, 370670001002009"
370810113001021,"370810113002000, 370810113001020, 370810113003004, 370810113003003, 370810113003002"
370630020291000,"370630020321000, 370630020312002, 370630020312003, 370630020291011, 370630020152010, 370630020152009, 370630020291001, 370630020301010, 370630020301008, 370630020301014, 370630020301002"
370839302004005,"370839302004002, 370839304003018, 370839302004009, 370839304003017, 370839302004008, 370839302004007, 370839304003005, 370839302004004, 370839302004006"
370839303002017,"370839303002023, 370839303002018, 370839303002019, 370839303002016, 370839303002014, 370839303002015"
371139701001060,"371139701001059, 371139701001073, 371139701001005, 371139701001062, 371139701001061, 371139701001063, 371139701001004"
371139702003028,"371139702003027, 371139702003031, 371139702003029, 371139702002028"
371139701001099,"371139701001119, 371139701001118, 371139701001117, 371139701001095, 371139701001100, 371139701001084"
370839308001041,"370839308001043, 370839308001040, 370839308001023, 370839308001042, 371859501032012, 371859501032013"
370839302001019,"370839302002000, 370839302002001, 370839302001020, 370839302001018, 370839302001021, 370839302001012, 370839302001013"
370839301001019,"370839301001017, 370839301001022, 370839301001018, 370839301001051, 370839301001052, 370839301001020"
371139705012048,"371139705012081, 371139705012082, 371139706004003, 371139705012051, 371139706004000, 371139705012050, 371139706003067, 371139705012049, 371139705012027, 371139705012026"
371139701002051,"371139701002069, 371139701002067, 371139701002068, 371139701002048, 371139701002045, 371139701002049, 371139701002050, 371139701002070"
371139702003040,"371139702003034, 371139702003035, 371139702003041, 371139702003006"
371139703022002,"371139703022000, 371139703022003, 371139703022005"
371139704001031,"371139704001037, 371139704001027, 371139704001032, 371139704001018, 371139704001036, 371139704001000"
371139701002011,"371139704001000, 370999505001068, 371139704001025, 371139704001024, 371139701002010, 370999505002028"
371139701001037,"371139701001028, 371139701001029"
371139707004032,"371139707004031, 371139707005007, 371139707005009"
371719306001009,"371719306001007, 371719306001052, 371719306001008, 371719305024024"
371139702003036,"371139707005013, 371139707005017, 371139707005012, 371139702003064, 371139702003035, 371139702003059, 371139702003058"
371139701001024,"371139701001042, 371139701001043, 371139701001041, 371139701001026, 371139701001040, 371139701001025, 371139701001004, 371139701001003"
370419301013018,"370419301013026, 370419301013028, 370419301013027, 370419301013017"
371139704001021,"371139704001000, 371139704001043, 371139704001041, 371139704001042, 371139704001044, 371139704001010, 371139704001040, 371139704001039, 371139704001038, 371139704001024"
371139705022048,"371139705022051, 371139705022052, 371139705022054, 371139705022049, 371139705022022"
371139703021003,"371139703021036, 371139703021037, 371139703021004, 371139703021002, 371139703021001, 371139703031010"
371139706003015,"371139706003014, 371139706003013, 371139706003009, 371139706002007, 371139706002008, 371139706003016, 371139706003038, 371139706003000"
371139705021002,"371139705021006, 371139705021011, 371139705021007, 371139705021014, 371139705021008, 371139705021004, 371139705021001, 371139705021003, 371139705021000, 371139705012094"
371139704002024,"371139704002025, 371139704002019, 371139704002015, 371139704002035"
371139703032004,"371139704001045, 371139703032005, 371139703032026, 371139704001049, 371139703032000"
371139703022025,"371139707001059, 371139703022024, 371139707001015, 371139703022026, 371139703022027, 371139703022019, 371139703022006, 371139703022014"
371139702001004,"371139702001009, 371139702001008, 371139702001006, 371139702001005, 371139702001000, 371139702001003, 371139702001002"
371139705021041,"371139705021042, 371139705021040, 370999509002098, 370999509002091, 371139705021038, 370999509002088"
371139702001037,"371139702001080, 371139702001036, 371139702001040, 371139702001081, 371139702001077, 371139702001038"
371139706004025,"371139706004034, 371139706004049, 371139706004050, 371139706004022, 371139706004008"
371139701002061,"371139701002055, 371139701002065, 371139701002060, 371139701002064, 371139701002063, 371139701002062"
371039201002079,"371039201002085, 371039201002075, 371039201002090, 371039201002086, 371039201002078, 371039201002080, 371039201002014, 371039201002015"
370839311024069,"371179704002014, 370839311024048, 370839311024049, 370839311024034, 371179704002008, 370839311024033"
370839311024065,"370839311024055, 370839311024050, 370839311024051, 370839311024067, 370839311024063, 370839311024064"
371139704001016,"371139704001000, 371139704001015, 371139704001060, 371139701002039, 371139701002041, 371139704001066, 371139704001013, 371139704001014, 371139704001067, 371139701002042, 371139704001041, 371139704001040"
371139706004090,"371139706004089, 371139706004091"
370839311022026,"370839311022024, 370839311021013, 370839311021012, 370839311022023, 370839311021014, 370839311022020"
371139701002088,"371139701002055, 371139701002057, 371139701002060, 371139702001000, 371139701001113, 371139701001110"
371139703041011,"371139703041025, 371139703041026, 371139703041027, 371139703041030, 371139703041028, 371139703041013, 371139703041014, 371139703041012, 371139703041017, 371139703041015, 371139703041020, 371139703041006, 371139703041032, 371139703041001, 371139703041000"
370839303002030,"370839303005000, 370839303005001, 370839303005002, 370839303002034, 370839303002031, 370839303002028, 370839303002029, 370839303002022"
371139706001010,"371139706001008, 371139706001018, 371139706001009, 371139706001004, 371139706001003, 371139706001007"
371139706002050,"371139706004008, 371139706002051, 371139706002056, 371139706002052, 371139706002049, 371139706002047"
371139702001061,"371139702001042, 371139702001057, 371139702001053, 371139702001055, 371139702001073, 371139702001071, 371139702001067, 371139702001069, 371139702001066"
371139702002146,"371139702002028, 371139702002144, 371139702002130, 371139702002147"
370839311011032,"370839311021001, 370839311011031, 370839311011033, 370839311022028, 370839311011022, 370839311011023"
370839309022012,"370839309022011, 370839309022015, 370839309021023, 370839309022013, 370839309021022"
370839311024028,"370839311024025, 370839311024024, 370839311024023, 370839311024013"
371139702001112,371139702001111
371139705022041,371139705022040
371139702001066,"371139702001042, 371139702002027, 371139702001075, 371139702001045, 371139702001061, 371139702001051, 371139702001055, 371139702001073, 371139702002000, 371139702001071, 371139702001067, 371139702001069, 371139702001070, 371139702001078, 371139702001072, 371139702001068, 371739603012056, 371739603012066, 371739603012067, 371739603012060, 371739603012008"
370710326001022,"370710325051001, 370710326002004, 370710325051000, 370710326002003, 370710326002002, 370710326001023, 370710326001014"
370190205101008,"370190205101019, 370190205101009, 370190205101006, 370190205101020, 370190205101012, 370190205101014, 370190205101013"
371139703021007,"371139703021005, 371139703022000"
371139701002030,"371139701002049, 371139701002070, 371139701002027, 371139701002031, 371139701002028, 371139701002026, 371139701002032, 371139701002029, 371139701002052, 371139701002018"
371139705021038,"371139705021040, 371139705021041, 371139705021036, 370999509002091, 371139705021037, 371139705021039, 370999509002090, 371139705021034, 371139705021027, 371139705021029, 370999509002088"
371139704002120,"371139704002010, 371139704002033, 371139704002047, 371139704002121, 371139704001008, 371139704002012"
370570612022025,"370570612022033, 370570612022024, 370570612022023, 370570612022020, 370570612022027, 370570612022026, 370570612022019, 370570612022018"
371039202002089,"371039202002048, 371039202002010, 371039202002087, 371039202002088, 371039202002009, 371039202002012"
370570618031061,"370570618031065, 370570618031059, 370570618031064, 370570618031047"
370839302002003,"370839302002005, 370839302002004, 370839303002027, 370839302002002, 370839303002012, 370839302001017, 370839302001016, 370839303002011"
371139705012003,"371139705012032, 371139705012033, 371139704002089, 371139705012000, 371139704002117, 371139704002116, 371139705012002"
371139703031033,"371139703043012, 371139703043023, 371139703043013, 371139703031031, 371139703031019, 371139703031032"
370839303005006,"370839303005003, 370839303005005, 370839303005016, 370839303005007, 370839303002032, 370839303002033, 370839303004030"
370839302002019,"370839304002001, 370839304002002, 370839304002003, 370839302002021, 370839302002018, 370839302002020, 370839302002014"
371139706004082,"371139706004080, 371139706004081, 371139706004088, 371139706004079, 371139706004091, 371139706004087, 371139706004086, 371139706004092, 371139706004083"
371139704002055,"371139706003021, 371139706003051, 371139706003033, 371139704002125, 371139706003025, 371139704002124, 371139704002123, 371139704002054, 371139706003010, 371139706003009"
371139705011028,"371139705011027, 371139705011025, 371139705011076"
370839304001026,"370839304001025, 370839304001034, 370839304001028, 370839304001016, 370839304001027, 370839304001007"
371139702002044,"371139702002012, 371139702002036, 371139702002042, 371139702002018, 371139702002016, 371139702002103, 371139702002023, 371139702002045, 371139702002046, 371139702002137, 371139702002050, 371139702002047, 371139702002049"
370839305031014,370839305031012
370839304003008,"370839304003010, 370839304003009, 370839304003004, 370839304003007, 370839304003002, 370839304003003"
371139704002033,"371139704002032, 371139704002040, 371139704002010, 371139704002047, 371139704002121, 371139704002120, 371139704002012"
371139706004053,"371139706004056, 371139706004051, 371139706004030, 371139706004011, 371139706004008"
371139706003073,"371139706002016, 371139706003021, 371139706002024, 371139706002034, 371139706002033, 371139706003012, 371139706003014, 371139706003013"
370839311021030,"370839311021041, 370839311021031, 370839311021032, 370839311021029, 370839311021025, 370839311021028, 370839311021027, 370839311021026"
371139701002022,"371139701002013, 371139701002005, 371139701002003"
371139706002020,"371139706002041, 371139706002018, 371139706002046, 371139706002045, 371139706002043, 371139706002025, 371139706002016, 371139706002039"
370350117022033,"370350117022034, 370350117022031, 370350117022025, 370350117022032, 370350117022021"
370350103023018,"370350104031000, 370350103023017, 370350103024010, 370350103023000"
371010401021001,"371010401021011, 371010401021004, 371010401021002, 371010401021003, 371010402061024, 371010402061025, 371010402061000, 371010401021000, 371010402062021, 371010402062015"
371139706002039,"371139706002041, 371139706002037, 371139706002016, 371139706002020, 371139706002040, 371139706002012, 371139706002011, 371139706002005"
371010403013008,"371010403013027, 371010403013017, 371010403013015, 371010403012016, 371010403012017, 371010403013009, 371010403013007, 371010403013006, 371010403012029, 371010403013004, 371010403012030"
371139705012011,"371139705012041, 371139705012043, 371139705012013, 371139705012005, 371139705012004"
371139702002027,"371139702002012, 371139702001042, 371139702002011, 371139702001075, 371139702002000, 371139702001066"
371139702002022,"371139702002012, 371139702002016"
371139705022043,"371139705022040, 371139705022042, 371139706004119, 371139705022044, 371139705022036, 371139706004101"
371139706003055,"371139706003057, 371139706003054, 371139706003056, 371139706003053, 371139706003047, 371139706003044"
371139705022067,"371139705022066, 371139705022059"
371139703022017,"371139703022019, 371139703022016, 371139703022015, 371139703022014"
371139702002019,"371139702002012, 371139702002150"
371139706001005,"371139706001004, 371139706001007, 371139707001034, 371139706001006, 371139707001033, 371139707001032, 371139706001002, 371139706001001"
371010415072000,"371010415083009, 371010415072004, 371010415061000, 371010415072003, 371010415072002, 371010415061002, 371010415073000, 371010415083004, 371010415072001, 371010415074004"
370839301001036,"370839301001041, 370839301001042, 370839301001038, 370839304001000, 370839301001037, 370839302005009, 370839301001034, 370839301001035, 370839302005007"
371139701002007,"371139701002040, 371139701002008, 371139701002042, 371139701002012, 371139701002009, 371139701002013, 371139701002001, 371139701002010, 371139701002003, 371139701002000"
370839311011008,"370839311011021, 370839311011025, 370839311011005, 370839311011009, 370839311011020, 370839311011017, 370839311011022, 370839311011023, 370839311011024, 370839311011003"
371139702001084,"371139703021005, 371139703021000, 371139703021010, 371139703021009, 371139703021011, 371139703031009, 371139702001027, 371139702001026, 371139702001024, 371139702001025"
371010411061003,"371010411061005, 371010411061004, 371010411061001, 371010411061007, 371010411061000"
371010409031002,"371010409031000, 371010409031001, 371010409031004"
370839305031027,"370839305031025, 370839305031026"
371139706004118,"371139706004111, 371139706004119, 371139706004116, 371139706004101"
371139705021001,"371139705021002, 371139705021000"
371139704002044,"371139704002056, 371139704002034, 371139704002060, 371139704002058, 371139704002032"
371139705011021,"371139705011051, 371139705011053, 371139705011052, 371139705011050, 371139705011054, 371139705011049, 371139705011022, 371139705011033, 371139705011013, 371139705011026, 371139705011023, 371139705011000"
371010402053001,"371010402053005, 371010402081006, 371010402053003, 371010402081002, 371010402081000, 371010402082005, 371010402082006, 371010402082004, 371010402053002, 371010402054022, 371010402053000"
371010404004040,"371010404004039, 371010404004058, 371010404004032, 371010404004042, 371010404004019, 371010404004041"
371139706004104,"371139706004103, 371139706004105, 371139706004110, 371139706004058, 371139706004109"
371010413011001,"371010412031006, 371010412031000, 371010413011002, 371010413011000, 371010412041020, 371010412042046, 371010412042045"
371010414011025,"371010414012021, 371010414011035, 371010414012020, 371010414011039, 371010414012009, 371010414011015, 371010414011026, 371010414011004, 371010414011034, 371010414011033, 371010414011031"
371139704002085,"371139704002086, 371139704002084, 371139704002080"
371010404003005,"371010404003006, 371010401032024, 371010404003007, 371010404003003, 371010404003004, 371010401032016"
371010402094029,"371010402094002, 371010402094030, 371010402094006"
371010409035003,371010409035000
370839301003024,"370839301003027, 370839301003025, 370839301003023, 370839301003026, 370839301003005, 370839301003020"
371139706004019,371139706004008
371139704002097,"371139704002056, 371139706003000, 371139704002113, 371139704002099, 371139704002098"
371010409062000,"371010409061010, 371010409062001, 371010411044000, 371010411041006, 371010409061004, 371010410013014, 371010410013012"
371010415054017,"371010414011003, 371010415054021, 371010415054018, 371010414011002, 371010415054016, 371010415054015"
371010414011004,"371010414011025, 371010414011039, 371010414011026, 371010414011040, 371010414011006, 371010414011005, 371010415054020, 371010414011003, 371010415054021, 371010414011002"
371010402062001,"371010402062004, 371010402062006, 371010402062003, 371010402041001, 371010402062002, 371010402041000, 371010402062000, 371950015022035, 371950015022036"
370839301004038,"370839301003028, 370839301004039, 370839301004037, 370839301003021"
371010404001037,"371010404001041, 371010404001039, 371010404001042, 371010404001030, 371010404001034, 371010404001036, 371010404001031, 371010404001038"
371010401012020,"371010401012018, 371010401012024, 371010401012030, 371010401012022, 371010401012031, 371010401012021, 371010401012023"
371010402042013,"371010402041002, 371010402041000, 371270115012051, 371010402041003, 371010402042015, 371010402042014, 371010402042012, 371270115011072, 371010402042011, 371270115011070"
370850704023021,"370850704023046, 370850704023022, 370850704023023, 370850704023020"
371010412031001,"371010412031006, 371010412031028, 371010412031002, 371010412031000, 371010412031005, 371010412031003, 371010412041016, 371010412041012"
371010414013040,"371010414013039, 371010414013021, 371010414013022, 371010414013047, 371010414013042, 371010414013041"
371010411052003,"371010411052000, 371010411052002"
371010411072002,"371010415043006, 371010411062006, 371010415041002, 371010411072005, 371010411072003, 371010411062005, 371010411072004, 371010411062003, 371010411072001, 371010411072000, 371010411071014"
371010402073014,"371010402073017, 371010402073016, 371010402073012"
371010415083009,"371010415092000, 371010415092001, 371010415072004, 371010415083008, 371010415072000, 371010415083004"
371010412052003,"371010412052034, 371010412052002, 371010412052004, 371010412052000, 371010412052001"
371010412042042,"371010412042041, 371010412042040, 371010412042038, 371010412042036, 371010412042043"
371010412031007,"371010412031013, 371010412031009, 371010412031010, 371010412031012, 371010412031011, 371010412031006, 371010413011005, 371010413011002"
371010411112011,"371010411112014, 371010411112010, 371010411112005, 371010411112013, 371010411112004, 371010411112000, 371010411112002, 371010411112012, 371010411112001, 371010411112003"
370850711011015,"370850711011016, 370850711011012"
371010411111003,"371010411111007, 371010411111008, 371010411111004, 371010411111000, 371830528091011, 371830528091010, 371830528091000, 371010411111002, 371830528091003"
371010411081001,"371010411062001, 371010411081002, 371010411061000, 371010411042006, 371010411062000, 371010411081000, 371010411052006, 371010411081004"
371010414021001,"371010414025015, 371010414021002, 371010414025014, 371010414021000"
371010412032015,"371010412032018, 371010412032017, 371010412032005, 371010412032016, 371010412032008, 371010412032009"
371010410032007,"371010410032006, 371010410041036"
370839310002006,"370839310002000, 370839310002008, 370839310002011"
371010411061000,"371010411061004, 371010409053010, 371010411061003, 371010411061001, 371010411044011, 371010411042006, 371010411062000, 371010411061002, 371010411081001, 371010411052006"
371010409051008,"371010409051017, 371010409042016, 371010409051007, 371010409042035, 371010409042015, 371010409051006"
371010411102010,"371010411102009, 371010411112015, 371010411112000"
371010405021014,"371010405012007, 371010405012005, 371010405012004, 371010405021027, 371010405021013, 371010405021011, 371010405021012, 371010405021015, 371010405021007"
371010412042045,"371010413011000, 371010413013002, 371010413013001, 371010412042009, 371010413011001, 371010412041020, 371010412042046, 371010412041021, 371010412042041, 371010412042040, 371010412042010"
371010412051026,"371010412052021, 371010412052020, 371010412051046, 371010412052019, 371010412051027, 371010412051028, 371010412051014, 371010412051007"
371010411102007,"371010411102005, 371010411051006, 371010411102006"
371010407002069,"371010407002079, 371010407002068, 371010407002070, 371010407002067, 371010407002064, 371010407002071, 371010407002062, 371010407002063"
371010402043006,"371010402043017, 371010402043004, 371010402043010, 371010402043009, 371010402043007, 371010402043002"
371010401032024,"371010404003012, 371010404003013, 371010401032027, 371010404003006, 371010401032026, 371010401032023, 371010404003005, 371010401032017, 371010404003004, 371010401032016"
371010413021039,"371010413021040, 371010413021041, 371010413021033, 371010413012016, 371010413012004, 371010413021038, 371010413012003, 371010413021034"
370839308004053,"371270108011003, 370839308004031, 370839308004034, 371270108011002, 370839308004035, 370839308004052, 370839308004054, 371270108011000, 370839308004057, 370839308004049"
370250416044004,"370250416044001, 370250416044005"
